element,position,multiplier,is_captain,is_vice_captain
69,1,1,False,False
275,2,1,False,False
437,3,1,False,False
491,4,1,False,False
331,5,1,False,False
233,6,2,True,False
419,7,1,False,False
240,8,1,False,False
289,9,1,False,False
277,10,1,False,True
189,11,1,False,False
376,12,0,False,False
237,13,0,False,False
413,14,0,False,False
348,15,0,False,False
