element,position,multiplier,is_captain,is_vice_captain
69,1,1,False,False
237,2,1,False,False
437,3,1,False,False
275,4,1,False,False
233,5,2,True,False
240,6,1,False,False
419,7,1,False,False
289,8,1,False,False
277,9,1,False,True
78,10,1,False,False
413,11,1,False,False
376,12,0,False,False
491,13,0,False,False
331,14,0,False,False
348,15,0,False,False
