element,position,multiplier,is_captain,is_vice_captain
69,1,1,False,False
237,2,1,False,False
245,3,1,False,False
275,4,1,False,False
233,5,2,True,False
277,6,1,False,True
289,7,1,False,False
419,8,1,False,False
215,9,1,False,False
78,10,1,False,False
413,11,1,False,False
376,12,0,False,False
61,13,0,False,False
331,14,0,False,False
348,15,0,False,False
