,id,player_name,team_title,games,time,goals,xG,xG_diff,assists,xA,xA_diff,shots,key_passes,yellow_cards,npg,npxG,xGChain,xGBuildup
351,7077,Denis Odoi,Fulham,3,270,0,0.04002567008137703,-0.04002567008137703,0,0.050192393362522125,-0.050192393362522125,2,1,1,0,0.04002567008137703,0.4257061406970024,0.3856804743409157
352,6840,Neeskens Kebano,Fulham,5,112,0,0.2724298546090722,-0.2724298546090722,0,0.0,0.0,6,0,0,0,0.2724298546090722,0.24167165253311396,0.020527511835098267
353,6434,Franck Zambo,Fulham,36,2582,0,1.4385464852675796,-1.4385464852675796,3,2.301115034148097,0.698884965851903,34,28,6,0,1.4385464852675796,8.766743932850659,6.624086673371494
354,6067,Terence Kongolo,Fulham,1,90,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.37357693910598755,0.37357693910598755
355,5973,Kenny Tete,Fulham,22,1483,0,0.21112635172903538,-0.21112635172903538,1,0.9065484516322613,0.09345154836773872,7,19,3,0,0.21112635172903538,3.7439207769930363,2.755570685490966
356,5590,Tosin Adarabioyo,Fulham,33,2955,0,1.5607313411310315,-1.5607313411310315,0,0.30873026326298714,-0.30873026326298714,18,5,1,0,1.5607313411310315,5.666259252466261,5.6079717660322785
357,5274,Michael Hector,Fulham,4,266,0,0.08639734238386154,-0.08639734238386154,0,0.019498158246278763,-0.019498158246278763,1,1,2,0,0.08639734238386154,0.4653734043240547,0.44587526470422745
358,4866,Aboubakar Kamara,Fulham,11,303,0,0.6549202371388674,-0.6549202371388674,0,0.32896897941827774,-0.32896897941827774,4,6,1,0,0.6549202371388674,1.1032148711383343,0.1823261920362711
359,3304,Maxime Le Marchand,Fulham,2,118,0,0.009506329894065857,-0.009506329894065857,0,0.0,0.0,1,0,2,0,0.009506329894065857,0.24691654741764069,0.24691654741764069
360,2310,Alphonse Areola,Fulham,36,3240,0,0.0,0.0,0,0.0,0.0,0,0,2,0,0.0,3.555330414324999,3.555330414324999
361,910,Harrison Reed,Fulham,31,2254,0,0.2909777192398906,-0.2909777192398906,2,1.6945231407880783,0.3054768592119217,13,21,5,0,0.2909777192398906,7.142017270438373,6.308452454395592
