,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
41,672,Jordan Ayew,36,2862,7,6.851809273,2,1.91866841,65,16,2,1,F M S,Swansea,6,6.09064044,8.016540211,1.894832988,2017
42,813,Salomón Rondón,36,2781,7,6.871560767,3,2.614863992,78,23,4,0,F S,West Bromwich Albion,7,6.871560767,10.66516674,3.401069943,2017
43,844,Jay Rodriguez,37,2845,7,7.642788367,1,1.834665034,69,21,2,0,F M S,West Bromwich Albion,6,6.88161953,8.146990897,1.564268827,2017
44,848,Charlie Austin,24,1023,7,7.720574729,0,0.693710286,47,4,2,0,F S,Southampton,6,6.959405892,6.517568489,1.211830501,2017
45,1621,Marcos Alonso,33,2869,7,4.369033532,2,3.057155713,65,34,6,0,D M,Chelsea,7,4.369033532,12.98670574,8.145295702,2017
46,1726,Abdoulaye Doucouré,37,3326,7,3.106085399,3,2.393647344,46,40,10,0,M,Watford,7,3.106085399,11.49240411,7.354975853,2017
47,3800,Steve Mounie,28,1850,7,5.801498689,1,1.607305715,49,16,2,0,F S,Huddersfield,7,5.801498689,7.001166325,1.809567123,2017
48,700,Willian,36,1872,6,5.983236313,7,6.169512926,54,62,1,0,F M S,Chelsea,5,5.222104266,12.88917564,5.100902388,2017
49,743,Dwight Gayle,35,1968,6,9.672671845,3,2.392068794,57,21,3,0,F S,Newcastle United,6,9.672671845,11.06782172,1.839150714,2017
50,754,Shinji Okazaki,27,1340,6,7.492760079,2,1.846009394,28,15,2,0,F M S,Leicester,6,7.492760079,8.057245754,1.113596855,2017
51,840,Dusan Tadic,36,2854,6,5.660930041,3,6.16357813,40,59,4,0,F M S,Southampton,5,4.899761219,14.32149792,4.343611073,2017
52,868,Mame Biram Diouf,35,2609,6,7.491201036,2,2.11507977,58,20,6,0,D F M S,Stoke,6,7.491201036,8.712970631,1.537023067,2017
53,1740,Paul Pogba,27,2158,6,7.813678247,10,4.590671517,76,39,5,1,M S,Manchester United,6,7.813678247,16.82082703,8.208943894,2017
54,3635,Bernardo Silva,35,1500,6,4.527406091,4,3.058388706,25,30,0,0,F S,Manchester City,6,4.527406091,15.46078129,9.751076773,2017
55,6038,Laurent Depoitre,33,1794,6,3.591188936,1,1.366085818,24,13,1,0,F S,Huddersfield,6,3.591188936,4.533495037,1.014141289,2017
56,339,Eric Maxim Choupo-Moting,30,2257,5,6.289976932,5,3.226308551,60,20,3,0,F M S,Stoke,5,6.289976932,9.284932056,2.201911317,2017
57,463,Junior Stanislas,19,1313,5,3.831800528,2,1.914769137,44,23,1,0,F M S,Bournemouth,4,3.07063169,5.264173873,1.892535299,2017
58,495,Nacho Monreal,28,2246,5,1.902515108,2,3.013727827,21,13,3,0,D S,Arsenal,5,1.902515108,10.20766701,8.551960686,2017
59,501,Danny Welbeck,28,1169,5,5.722649245,2,1.369902685,32,13,1,0,F M S,Arsenal,5,5.722649245,8.678983869,2.561774347,2017
60,535,Manuel Lanzini,27,2054,5,3.833089454,6,3.734414921,44,41,4,0,F M S,West Ham,5,3.071920631,9.272790789,5.117014693,2017
61,574,Troy Deeney,29,1832,5,7.149526566,2,2.376047593,36,26,1,1,F S,Watford,2,3.343682344,7.171732103,2.765413555,2017
62,614,Fernandinho,34,2890,5,2.466341163,3,2.843062095,47,21,7,0,M S,Manchester City,5,2.466341163,25.39007394,22.23768275,2017
63,633,James McArthur,33,2440,5,4.228801899,1,2.059937009,30,20,5,0,M S,Crystal Palace,5,4.228801899,10.53074928,6.216755921,2017
64,702,Tammy Abraham,31,1706,5,6.15995905,1,1.444299046,42,12,0,0,F S,Swansea,5,6.15995905,7.573331937,1.303047126,2017
65,730,Patrick van Aanholt,28,2184,5,3.393267946,1,2.455477662,33,18,7,0,D S,Crystal Palace,5,3.393267946,7.430773039,4.098446819,2017
66,872,Peter Crouch,31,1532,5,4.215646747,2,3.147523165,23,21,4,0,F S,Stoke,5,4.215646747,7.294581177,1.31168494,2017
67,1383,Manolo Gabbiadini,28,1056,5,2.522543225,0,0.54670978,22,7,2,0,F S,Southampton,4,1.761374358,3.041186713,1.450882964,2017
